iter	RMSE
137	1.271632409
138	1.271229578
139	1.270738915
140	1.270189576
141	1.269758756
142	1.26941051
143	1.269039317
144	1.26864692
145	1.268192331
146	1.267668685
147	1.26724828
148	1.266942815
149	1.266147462
150	1.265752611
151	1.265071809
152	1.264713976
153	1.264463696
154	1.264005706
155	1.263606628
156	1.263185058
157	1.262744115
158	1.262402979
159	1.262035378
160	1.261758459
161	1.260840057
162	1.260556411
163	1.260257321
164	1.259898423
165	1.259646481
166	1.259234791
167	1.258869695
168	1.258639218
169	1.258363464
170	1.258096477
171	1.257752434
172	1.257046721
173	1.256772706
174	1.255908638
175	1.254763726
176	1.254229043
177	1.253981043
178	1.253650308
179	1.252706473
180	1.252218754
181	1.251688272
182	1.25083165
183	1.250578092
184	1.250394527
185	1.249799988
186	1.249339043
187	1.249100916
188	1.248897165
189	1.248519133
190	1.248236892
191	1.248052975
192	1.247745202
193	1.247520554
194	1.247082594
195	1.246625966
196	1.246343358
197	1.24613799
198	1.245780668
199	1.245457516
200	1.24533113
201	1.245107285
202	1.244790696
203	1.244461578
204	1.243351055
205	1.243194457
206	1.242750498
207	1.24254029
208	1.242339303
209	1.241911991
210	1.241493125
211	1.241238333
212	1.240890442
213	1.240738448
214	1.240506874
215	1.240333074
216	1.24016579
217	1.239467757
218	1.239274699
219	1.238994691
220	1.238887125
221	1.238579091
222	1.238081045
223	1.237944647
224	1.236999682
225	1.235441718
226	1.235077179
227	1.23473621
228	1.234436755
229	1.234125413
230	1.234057582
231	1.233815372
232	1.233739278
233	1.232722543
234	1.232490688
235	1.232363095
236	1.232116764
237	1.231707492
238	1.231050322
239	1.23072551
240	1.230519806
241	1.230227103
242	1.229120658
243	1.228806186
244	1.228570363
245	1.228352874
246	1.227895848
247	1.227680499
248	1.227466861
249	1.227185753
250	1.22670393
251	1.226241995
252	1.225985084
253	1.225923326
254	1.225384886
255	1.225119812
256	1.224919587
257	1.224421538
258	1.224222155
259	1.224073654
260	1.223899384
261	1.223775287
262	1.223540903
263	1.223331193
264	1.222816668
265	1.22270015
266	1.222597907
267	1.2222744
268	1.222063646
269	1.221820332
270	1.221670145
271	1.221402627
272	1.221091184
273	1.220891326
274	1.220096152
275	1.219829345
276	1.219448782
277	1.219254724
278	1.219197345
279	1.219061724
280	1.218946177
281	1.21857446
282	1.218134354
283	1.217941995
284	1.217740566
285	1.217662713
286	1.217325875
287	1.217117543
288	1.216934492
289	1.216422922
290	1.216050685
291	1.215851164
292	1.215571064
293	1.215404821
294	1.215131414
295	1.214941189
296	1.214888308
297	1.214681004
298	1.214525175
299	1.214340215
300	1.214232759
301	1.214094421
302	1.213896554
303	1.213750546
304	1.213573688
305	1.213103437
306	1.21215577
307	1.21199567
308	1.211840757
309	1.211683849
310	1.211442177
311	1.210515304
312	1.210212753
313	1.209676247
314	1.209457164
315	1.209236105
316	1.209066033
317	1.208849317
318	1.208722771
319	1.208583801
320	1.208470564
321	1.208111674
322	1.207875785
323	1.207609295
324	1.207398505
325	1.207077622
326	1.206790364
327	1.20660921
328	1.20654791
329	1.206496
330	1.20637785
331	1.206016032
332	1.205682802
333	1.205555098
334	1.20541607
335	1.205296415
336	1.205150728
337	1.204862235
338	1.204716182
339	1.20410644
340	1.203932417
341	1.203850044
342	1.203696156
343	1.203629126
344	1.203487803
345	1.203006281
346	1.202640615
347	1.201948815
348	1.201707982
349	1.201592557
350	1.201343839
351	1.201256989
352	1.201164048
353	1.201086579
354	1.200767276
355	1.200639558
356	1.200596116
357	1.200469737
358	1.20021866
359	1.199613057
360	1.199311751
361	1.199045914
362	1.198974038
363	1.198846159
364	1.198737064
365	1.198549871
366	1.198480873
367	1.198260507
368	1.198039884
369	1.197613935
370	1.197519067
371	1.197456695
372	1.196937316
373	1.196793463
374	1.196383167
375	1.196155488
376	1.196039971
377	1.195879963
378	1.195719577
379	1.195364844
380	1.19528096
381	1.195118399
382	1.194974803
383	1.194807789
384	1.194597896
385	1.194280469
386	1.194015578
387	1.193867425
388	1.193570467
389	1.193346768
390	1.193176644
391	1.19301224
392	1.192885474
393	1.192752964
394	1.192551574
395	1.192444548
396	1.192289466
397	1.192046095
398	1.191930311
399	1.191514409
400	1.19139644
401	1.191231411
402	1.190889338
403	1.190764161
404	1.19067705
405	1.190538322
406	1.190391376
407	1.190255456
408	1.189768404
409	1.189228701
410	1.188875361
411	1.188835708
412	1.188696046
413	1.188532023
414	1.188331711
415	1.188308231
416	1.188161334
417	1.188048122
418	1.187977789
419	1.187858888
420	1.18772946
421	1.187647198
422	1.187569653
423	1.187293403
424	1.187188124
425	1.187150754
426	1.186955642
427	1.186563001
428	1.18648279
429	1.1862994
430	1.186208047
431	1.186188195
432	1.18603676
433	1.185996543
434	1.185960968
435	1.185916609
436	1.1856789
437	1.185526871
438	1.185494918
439	1.185416211
440	1.184842345
441	1.184692291
442	1.184589118
443	1.184504849
444	1.184248926
445	1.183411146
446	1.183326875
447	1.183186224
448	1.183011234
449	1.182924335
450	1.182830649
451	1.18255786
452	1.182456845
453	1.182359463
454	1.181966005
455	1.181888839
456	1.181730983
457	1.181713354
458	1.18138416
459	1.181249522
460	1.18114487
461	1.181032548
462	1.18070056
463	1.180670103
464	1.180501918
465	1.180452691
466	1.180360822
467	1.180252686
468	1.180051132
469	1.180025622
470	1.179648357
471	1.179520794
472	1.179427743
473	1.179234556
474	1.178989176
475	1.178928984
476	1.178807343
477	1.178687378
478	1.178574508
479	1.178388413
480	1.178284741
481	1.178065292
482	1.177955098
483	1.177432725
484	1.177328582
485	1.177270056
486	1.177104025
487	1.1770386
488	1.176940953
489	1.176804813
490	1.17676053
491	1.176670524
492	1.176506442
493	1.176310401
494	1.176180566
495	1.176073594
496	1.175930571
497	1.175752196
498	1.17549423
499	1.175360296
500	1.175273888
501	1.175230177
502	1.175137278
503	1.17504366
504	1.174979941
505	1.174809143
506	1.174754079
507	1.174685884
508	1.174575467
509	1.173298164
510	1.173185357
511	1.173097884
512	1.17286011
513	1.172771279
514	1.172717354
515	1.172519947
516	1.172251575
517	1.172085379
518	1.171971382
519	1.171905609
520	1.171830647
521	1.171731825
522	1.171622043
523	1.171485043
524	1.171411041
525	1.171130764
526	1.171034186
527	1.170951344
528	1.170579048
529	1.170464522
530	1.17038392
531	1.170286345
532	1.170125606
533	1.169986406
534	1.169694465
535	1.169486709
536	1.169213942
537	1.169023896
538	1.168480837
539	1.168159061
540	1.167905158
541	1.167740184
542	1.167615098
543	1.167020572
544	1.166928824
545	1.166821756
546	1.166379032
547	1.166263764
548	1.165814387
549	1.165526367
550	1.165444287
551	1.165415131
552	1.165340026
553	1.165166646
554	1.165119311
555	1.165016007
556	1.164979977
557	1.164441254
558	1.164420949
559	1.164357569
560	1.164317002
561	1.164208228
562	1.164089395
563	1.164021384
564	1.163948865
565	1.163893501
566	1.163802183
567	1.163741517
568	1.163712765
569	1.163419996
570	1.162966105
571	1.162810525
572	1.162449727
573	1.16225694
574	1.162090695
575	1.162012107
576	1.161928638
577	1.161840382
578	1.161630506
579	1.161502979
580	1.161487936
581	1.159254811
582	1.15894817
583	1.158815223
584	1.158764403
585	1.158717101
586	1.158643394
587	1.158537596
588	1.158419985
589	1.158327071
590	1.158244679
591	1.158168868
592	1.158139863
593	1.15812739
594	1.158034515
595	1.157937225
596	1.157857834
597	1.157753938
598	1.157711208
599	1.15759764
600	1.15752716
601	1.157486194
602	1.157273771
603	1.157198369
604	1.15710734
605	1.156754075
606	1.156658287
607	1.156566259
608	1.156390717
609	1.15615649
610	1.155830633
611	1.15571892
612	1.155632579
613	1.15557976
614	1.155253297
615	1.155133207
616	1.155014246
617	1.154929552
618	1.154808244
619	1.154725468
620	1.154638681
621	1.154520577
622	1.154459464
623	1.154060559
624	1.154009759
625	1.153921706
626	1.153874384
627	1.153363122
628	1.153180376
629	1.153150141
630	1.15309933
631	1.153030153
632	1.15293763
633	1.152826652
634	1.152723863
635	1.152532858
636	1.152444258
637	1.152306729
638	1.152250555
639	1.151872495
640	1.151796751
641	1.151669493
642	1.151591413
643	1.15151973
644	1.151423155
645	1.151348193
646	1.151243525
647	1.151142886
648	1.150622079
649	1.150432928
650	1.15037043
651	1.150191301
652	1.150133703
653	1.150032489
654	1.149884392
655	1.149787302
656	1.149687234
657	1.149449043
658	1.14902652
659	1.14773118
660	1.147637647
661	1.147568133
662	1.147481846
663	1.147380889
664	1.147298917
665	1.147210492
666	1.147114819
667	1.146995718
668	1.14684833
669	1.146781046
670	1.146717116
671	1.146663329
672	1.146547945
673	1.146489125
674	1.146402201
675	1.14633398
676	1.146234638
677	1.146162919
678	1.146078954
679	1.1459852
680	1.145891305
681	1.14556527
682	1.145449391
683	1.14533658
684	1.145227913
685	1.145129087
686	1.144987617
687	1.14474465
688	1.144668436
689	1.144583224
690	1.144333417
691	1.144261866
692	1.144221634
693	1.144082787
694	1.143883897
695	1.143805882
696	1.142903753
697	1.14282504
698	1.142731962
699	1.142670642
700	1.142582042
701	1.142486345
702	1.142307858
703	1.142220873
704	1.142114297
705	1.142069398
706	1.141975682
707	1.141826295
708	1.141757872
709	1.140840705
710	1.140623726
711	1.140542026
712	1.140391865
713	1.139753258
714	1.139569799
715	1.13949991
716	1.139396956
717	1.139326098
718	1.139280071
719	1.139218288
720	1.139105802
721	1.139028529
722	1.13897509
723	1.138521909
724	1.138470222
725	1.138356836
726	1.138305342
727	1.138219049
728	1.138154746
729	1.138056711
730	1.137926868
731	1.13782313
732	1.137742447
733	1.137446339
734	1.137378566
735	1.13728818
736	1.137219322
737	1.137196403
738	1.137120083
739	1.137014411
740	1.136964066
741	1.136805378
742	1.136026705
743	1.135608651
744	1.135477626
745	1.135397812
746	1.135323224
747	1.135294065
748	1.135207149
749	1.135150584
750	1.134929715
751	1.134887763
752	1.134822425
753	1.134689163
754	1.134641457
755	1.134614272
756	1.134509619
757	1.134453475
758	1.134079917
759	1.134013903
760	1.133994375
761	1.133891709
762	1.13381441
763	1.133758757
764	1.133696001
765	1.13366526
766	1.133561063
767	1.133468047
768	1.133274758
769	1.133077355
770	1.132965071
771	1.132918283
772	1.132714062
773	1.132621478
774	1.132569418
775	1.132493561
776	1.132472171
777	1.13245628
778	1.13239181
779	1.132375254
780	1.132246177
781	1.132088372
782	1.132013049
783	1.131962282
784	1.131444831
785	1.131050991
786	1.130955267
787	1.130892297
788	1.130779924
789	1.130709523
790	1.130641537
791	1.130593791
792	1.13049176
793	1.130423718
794	1.130388423
795	1.130301704
796	1.130211174
797	1.130171439
798	1.130106905
799	1.130029006
800	1.129955672
801	1.12989488
802	1.129845098
803	1.129803814
804	1.129731421
805	1.129713472
806	1.129649768
807	1.129612841
808	1.129553724
809	1.129489209
810	1.129447048
811	1.129363893
812	1.12924596
813	1.129203577
814	1.12916805
815	1.129106513
816	1.129057659
817	1.128998163
818	1.128949334
819	1.128875146
820	1.128817644
821	1.128674069
822	1.128640872
823	1.128513935
824	1.128456102
825	1.128436038
826	1.12839241
827	1.128352065
828	1.128291946
829	1.128267652
830	1.128143667
831	1.128017325
832	1.12791175
833	1.127832185
834	1.127754923
835	1.127642788
836	1.12709564
837	1.127057759
838	1.126914206
839	1.126879831
840	1.126829846
841	1.126787933
842	1.126759738
843	1.126708869
844	1.126648588
845	1.126591892
846	1.126518243
847	1.12642548
848	1.126214579
849	1.126163215
850	1.126059048
851	1.125984409
852	1.125905084
853	1.125796192
854	1.125692288
855	1.125595007
856	1.125538817
857	1.125484331
858	1.125228071
859	1.125145766
860	1.125068109
861	1.124728278
862	1.124671934
863	1.124622015
864	1.124552528
865	1.124494937
866	1.124286242
867	1.124252284
868	1.124209134
869	1.124203181
870	1.124124184
871	1.124102868
872	1.123745093
873	1.123591163
874	1.123465904
875	1.123426599
876	1.123379121
877	1.123306777
878	1.123176336
879	1.123101888
880	1.122966705
881	1.122961398
882	1.122735735
883	1.122712613
884	1.122139672
885	1.122089342
886	1.121977491
887	1.121892204
888	1.121807586
889	1.121763759
890	1.121686389
891	1.121617302
892	1.121564238
893	1.121538414
894	1.121467967
895	1.121422797
896	1.121400175
897	1.121337351
898	1.121278412
899	1.121191251
900	1.121174476
901	1.121140402
902	1.121085807
903	1.121019223
904	1.120988166
905	1.120894838
906	1.120832965
907	1.120800808
908	1.12077012
909	1.120723881
910	1.12068069
911	1.120633839
912	1.120568258
913	1.120487732
914	1.120434607
915	1.120379591
916	1.1203172
917	1.119892194
918	1.119805324
919	1.119758159
920	1.119714834
921	1.119649693
922	1.119592338
923	1.119530117
924	1.11947821
925	1.119445873
926	1.119392056
927	1.119351941
928	1.11928915
929	1.119241547
930	1.119206381
931	1.119172564
932	1.119040943
933	1.119002421
934	1.118964198
935	1.118812284
936	1.11877093
937	1.118736785
938	1.118668363
939	1.118622498
940	1.118543849
941	1.118502897
942	1.118484395
943	1.118409881
944	1.118148965
945	1.118020179
946	1.117889669
947	1.117837524
948	1.117775996
949	1.11765813
950	1.117610414
951	1.117595689
952	1.117537984
953	1.117472707
954	1.117396491
955	1.117311793
956	1.11725201
957	1.117185546
958	1.11709644
959	1.117047121
960	1.116990462
961	1.116912419
962	1.116858215
963	1.116716179
964	1.116638113
965	1.116608394
966	1.116510445
967	1.116474875
968	1.116431928
969	1.11641882
970	1.116379157
971	1.116302368
972	1.116184139
973	1.116110123
974	1.116051544
975	1.115834019
976	1.115762058
977	1.115744692
978	1.115708689
979	1.11562817
980	1.115563308
981	1.115540703
982	1.115436821
983	1.115121059
984	1.114982667
985	1.114920364
986	1.114874448
987	1.11476994
988	1.114686757
989	1.114612308
990	1.114547015
991	1.114394495
992	1.114171113
993	1.114102474
994	1.114063422
995	1.114034438
996	1.114020121
997	1.114008796
998	1.113975332
999	1.113925118
